Date,Si,Volume,Open,High,Low
01/26/2024,1.3451,N/A,1.3474,1.3484,1.3415
01/25/2024,1.3472,N/A,1.3474,1.3483,1.3466
01/24/2024,1.3518,N/A,1.3522,1.3535,1.3515
01/23/2024,1.347,N/A,1.346,1.3479,1.3456
01/22/2024,1.3466,N/A,1.3478,1.3486,1.3464
01/19/2024,1.343,N/A,1.3485,1.3503,1.3427
01/18/2024,1.3489,N/A,1.3485,1.3495,1.3482
01/17/2024,1.3494,N/A,1.3505,1.3517,1.3484
01/16/2024,1.3495,N/A,1.3492,1.3501,1.348
01/15/2024,1.3471,N/A,1.3424,1.3475,1.3423
01/14/2024,1.3394,N/A,1.3408,1.3415,1.3382
01/12/2024,1.3407,N/A,1.3391,1.3412,1.3343
01/11/2024,1.3382,N/A,1.3391,1.3402,1.337
01/10/2024,1.3365,N/A,1.3378,1.3383,1.3357
01/09/2024,1.3382,N/A,1.3389,1.3397,1.3377
01/08/2024,1.3354,N/A,1.3345,1.3357,1.3341
01/07/2024,1.3373,N/A,1.3362,1.3375,1.3345
01/05/2024,1.3361,N/A,1.3347,1.3399,1.3288
01/04/2024,1.3364,N/A,1.3347,1.3364,1.3346
01/03/2024,1.334,N/A,1.3353,1.3361,1.3336
01/02/2024,1.3328,N/A,1.3322,1.3333,1.3318
01/01/2024,1.3258,N/A,1.3236,1.3258,1.3229
12/29/2023,1.3251,N/A,1.3229,1.3266,1.3179
12/28/2023,1.3228,N/A,1.3229,1.3234,1.3223
12/27/2023,1.3205,N/A,1.3207,1.3214,1.3193
12/26/2023,1.319,N/A,1.3195,1.3211,1.3188
12/25/2023,1.3253,N/A,1.325,1.3262,1.3251
12/24/2023,1.327,N/A,1.3272,1.3299,1.3261
12/22/2023,1.3265,N/A,1.328,1.3293,1.3219
12/21/2023,1.3285,N/A,1.328,1.329,1.3276
12/20/2023,1.3355,N/A,1.3355,1.3372,1.335
12/19/2023,1.3349,N/A,1.3331,1.3352,1.3333
12/18/2023,1.3397,N/A,1.3395,1.3403,1.3388
12/17/2023,1.3378,N/A,1.3381,1.3389,1.337
12/15/2023,1.338,N/A,1.3406,1.3415,1.335
12/14/2023,1.339,N/A,1.3406,1.3415,1.3387
12/13/2023,1.3468,N/A,1.3517,1.3521,1.3456
12/12/2023,1.3594,N/A,1.3588,1.36,1.3585
12/11/2023,1.3557,N/A,1.3574,1.358,1.3555
12/10/2023,1.3603,N/A,1.3587,1.3604,1.3579
12/08/2023,1.3584,N/A,1.3594,1.3611,1.3551
12/07/2023,1.3577,N/A,1.3594,1.3603,1.3571
